date,ens_1m,real_1m,ens_3m,real_3m,ens_6m,real_6m,ens_12m,real_12m
1966-07-31,-0.000146,-0.077751,0.007534,-0.040670,0.020201,0.036005,0.067356,0.133373
1966-08-31,0.002313,-0.007004,0.010743,0.043450,0.025303,0.125551,0.075142,0.214527
1966-09-30,0.006260,0.047544,0.009364,0.049242,0.028150,0.178161,0.081573,0.263192
1966-10-31,0.000718,0.003117,0.003157,0.079925,0.030305,0.172195,0.084043,0.163342
1966-11-30,0.001902,-0.001492,0.007725,0.078682,0.033895,0.107272,0.090918,0.168428
1966-12-31,0.008287,0.078178,0.015233,0.122868,0.037168,0.128346,0.088920,0.200921
1967-01-31,0.001070,0.001963,0.006689,0.085440,0.029343,0.093985,0.077425,0.065004
1967-02-28,0.001922,0.039410,0.012632,0.026504,0.033856,0.079050,0.079712,0.029730
1967-03-31,0.003233,0.042240,0.019158,0.004878,0.043045,0.072173,0.087401,0.000000
1967-04-30,0.007308,-0.052441,0.022585,0.007871,0.040230,-0.007552,0.082031,0.036698
1967-05-31,0.010117,0.017512,0.029106,0.051190,0.044537,0.055231,0.085419,0.107768
1967-06-30,0.009301,0.045344,0.028950,0.066968,0.042498,0.064320,0.084010,0.098632
1967-07-31,0.012461,-0.011715,0.034053,-0.015303,0.041166,-0.026491,0.086466,0.031557
1967-08-31,0.016691,0.032785,0.045291,0.003845,0.053821,-0.045707,0.097337,0.055745
1967-09-30,0.009168,-0.035260,0.034066,-0.002482,0.048522,-0.067315,0.087086,0.061628
1967-10-31,0.019711,0.007503,0.048246,-0.011361,0.055213,0.044587,0.100304,0.108360
1967-11-30,0.022936,0.026277,0.046989,-0.049362,0.052724,0.049787,0.105157,0.152872
1967-12-31,0.017101,-0.043848,0.039626,-0.064994,0.049555,0.032238,0.105368,0.076604
1968-01-31,0.014578,-0.031223,0.038001,0.056592,0.065048,0.059627,0.102238,0.116761
1968-02-29,0.012176,0.009400,0.032611,0.104297,0.056499,0.106312,0.093697,0.098142
1968-03-31,0.005874,0.080488,0.025977,0.103991,0.054158,0.138248,0.096820,0.125388
1968-04-30,0.009267,0.012518,0.025518,0.002873,0.052739,0.061051,0.096826,0.063924
1968-05-31,0.014017,0.009120,0.036838,0.001824,0.064631,0.098196,0.101299,0.048439
1968-06-30,0.016911,-0.018478,0.041173,0.031030,0.069771,0.042981,0.107403,-0.018779
1968-07-31,0.012081,0.011459,0.043053,0.058011,0.059002,0.053919,0.098274,-0.060467
1968-08-31,0.007886,0.038539,0.033204,0.096197,0.048247,-0.007384,0.086803,-0.033886
1968-09-30,0.005526,0.007208,0.026177,0.011591,0.041813,-0.011298,0.083785,-0.093016
1968-10-31,0.009800,0.047964,0.033351,-0.003868,0.045359,0.002708,0.085573,-0.060826
1968-11-30,0.009958,-0.041617,0.033212,-0.094491,0.043397,-0.045308,0.082749,-0.134355
1968-12-31,0.014060,-0.008184,0.041540,-0.022627,0.051855,-0.059214,0.088628,-0.113615
1969-01-31,0.017416,-0.047374,0.045570,0.006601,0.067233,-0.108533,0.107965,-0.174643
1969-02-28,0.009585,0.034444,0.031819,0.054316,0.056019,-0.026699,0.106654,-0.087945
